EMD-0001 C1 3.4 6gh5
EMD-0002 C1 4.1 6gh6
EMD-0004 C1 3.23 6giq
EMD-0005 C1 3.34 n/a
EMD-0006 C1 3.5 n/a
EMD-0007 None 8.7 n/a
EMD-0008 C1 4.3 6giy
EMD-0009 C1 4.7 6gj1
EMD-0010 None 4.3 6gj3
EMD-0011 D3 3.3 6gjc
EMD-0015 C1 10.3 n/a
EMD-0016 C1 8.8 n/a
EMD-0017 C1 9.1 n/a
EMD-0018 C1 16.7 n/a
EMD-0020 D3 2.56 n/a
EMD-0022 C1 7.6 n/a
EMD-0025 C3 3.2 n/a
EMD-0026 C2 6.3 6gl7
EMD-0027 None 17.0 n/a
EMD-0028 None 17.0 n/a
EMD-0029 None 22.0 n/a
EMD-0030 C1 3.34 n/a
EMD-0031 C1 3.1 6gmh
EMD-0032 None 3.49 n/a
EMD-0033 C1 3.2 n/a
EMD-0034 C1 3.28 n/a
EMD-0035 C1 3.49 n/a
EMD-0036 C1 3.1 n/a
EMD-0037 C1 3.34 n/a
EMD-0038 C1 3.2 6gml
EMD-0039 C1 3.4 n/a
EMD-0040 C1 3.4 n/a
EMD-0041 C1 3.9 n/a
EMD-0042 C1 3.3 n/a
EMD-0043 C1 3.7 6gov
EMD-0045 None 20.0 n/a
EMD-0046 C1 5.5 n/a
EMD-0047 C1 4.4 6gq1
EMD-0048 C1 3.9 6gqb
EMD-0049 C1 4.0 6gqv
EMD-0050 I 14.9 n/a
EMD-0051 C1 4.2 6gsa
EMD-0052 C1 4.4 n/a
EMD-0054 I 3.0 6gsh
EMD-0055 C1 4.3 n/a
EMD-0056 C1 3.75 6gsi
EMD-0057 C1 5.15 6gsm
EMD-0058 C1 5.75 6gsn
EMD-0061 C1 3.91 6gtc
EMD-0062 C1 4.24 6gtd
EMD-0063 C1 4.07 6gte
EMD-0064 C1 3.63 6gtf
EMD-0065 C1 3.27 6gtg
EMD-0069 I 2.8 6gv4
EMD-0071 D2 3.9 6gve
EMD-0072 C2 18.2 n/a
EMD-0073 C2 8.9 n/a
EMD-0076 C1 3.8 6gwt
EMD-0079 None 4.5 6gxi
EMD-0080 C1 3.8 6gxm
EMD-0081 C1 3.9 6gxn
EMD-0082 C1 3.9 6gxo
EMD-0083 C1 4.4 6gxp
EMD-0088 C13 4.0 6gy6
EMD-0089 C14 3.28 6gyb
EMD-0090 C1 5.1 6gyk
EMD-0091 C1 4.8 6gyl
EMD-0092 C1 6.7 6gym
EMD-0093 C4 3.4 6gyn
EMD-0094 C4 3.4 6gyo
EMD-0095 None 3.6 6gyp
EMD-0096 None 4.4 6gys
EMD-0097 None 3.0 6gyu
EMD-0098 C1 3.6 6gz3
EMD-0099 None 3.6 6gz4
EMD-0100 C1 3.5 6gz5
EMD-0101 C1 3.28 6gzq
EMD-0102 C2 28.0 n/a
EMD-0103 I 4.0 6gzv
EMD-0104 None 4.57 6gzx
EMD-0105 None 4.13 6gzz
EMD-0106 C1 5.6 6h03
EMD-0107 C1 5.6 6h04
EMD-0108 O 2.9 6h05
